fname,label,aso_id,manually_verified,noisy_small,validation
94322.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
85602.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
240356.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
371015.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
264589.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
195017.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
167157.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
389300.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
275252.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
363874.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
268884.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
272492.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
232824.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
245037.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
233382.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
38873.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
148796.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
391920.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
154663.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
156206.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
348752.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
412785.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
85655.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
78991.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
148853.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
142008.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
379175.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
420552.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
349101.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
388504.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
388509.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
406688.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
406678.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
403164.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
403167.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
172357.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
172361.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
427683.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
427684.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
422743.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
422762.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
421147.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
421134.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
166509.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
166510.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
272381.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
272380.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
273402.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
271925.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
269847.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
269864.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
152781.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
152792.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
152795.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
138052.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
138060.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
138071.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
321841.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
321848.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
321847.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
166287.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
166295.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
166297.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
151208.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
151209.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
151222.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
217901.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
217963.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
217984.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
340209.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
340214.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
340225.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
32635.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
32642.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
32643.wav,Walk_or_footsteps,/m/07pbtc8,1,0,1
32646.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
32644.wav,Walk_or_footsteps,/m/07pbtc8,1,0,0
416967.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
232960.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
214005.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
379293.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
428998.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
272109.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
233245.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
380812.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
139964.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
272159.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
178720.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
222456.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
264703.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
232663.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
236794.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
41578.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
79006.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
17651.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
389454.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
257644.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
164513.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
331450.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
398779.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
151229.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
388580.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
321583.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
60612.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
38872.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
187113.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
264645.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
260979.wav,Walk_or_footsteps,/m/07pbtc8,0,0,0
